Date,TX60
7/30/2019 16:00:00,982.35
7/31/2019 16:00:00,979.73
8/01/2019 16:00,976.79
8/02/2019 16:00,969.49
8/06/2019 16:00,961.31
8/07/2019 16:00,969.46
8/08/2019 16:00,977.76
8/09/2019 16:00,974.34
8/12/2019 16:00,968.61
8/13/2019 16:00:00,976.59
8/14/2019 16:00:00,957.56
8/15/2019 16:00:00,955.84
8/16/2019 16:00:00,965.02
8/19/2019 16:00:00,974.3
8/20/2019 16:00:00,967.18
8/21/2019 16:00:00,973.95
8/22/2019 16:00:00,971.09
8/23/2019 16:00:00,956.68
8/26/2019 16:00:00,961.86
8/27/2019 16:00:00,966.07
8/28/2019 16:00:00,970.82
8/29/2019 16:00:00,979.2
8/30/2019 16:00:00,982.45
9/03/2019 16:00,979.11
9/04/2019 16:00,981.23
9/05/2019 16:00,990.35
9/06/2019 16:00,987.99
9/09/2019 16:00,985.16
9/10/2019 16:00,988.09
9/11/2019 16:00,992.96
9/12/2019 16:00,996.14
9/13/2019 16:00:00,998.54
9/16/2019 16:00:00,1001.88
9/17/2019 16:00:00,1006.85
9/18/2019 16:00:00,1005.77
9/19/2019 16:00:00,1009.36
9/20/2019 16:00:00,1011.25
9/23/2019 16:00:00,1008.12
9/24/2019 16:00:00,1003.77
9/25/2019 16:00:00,1003.58
9/26/2019 16:00:00,1004.1
9/27/2019 16:00:00,999.15
9/30/2019 16:00:00,997.93
10/01/2019 16:00,985.03
10/02/2019 16:00,975.34
10/03/2019 16:00,978.16
10/04/2019 16:00,983.06
10/07/2019 16:00,981.29
10/08/2019 16:00,972.82
10/09/2019 16:00,979.34
10/10/2019 16:00,982.49
10/11/2019 16:00,982.65
10/15/2019 16:00:00,983.45
10/16/2019 16:00:00,983.98
10/17/2019 16:00:00,982.75
10/18/2019 16:00:00,980.04
10/21/2019 16:00:00,982.93
10/22/2019 16:00:00,981.11
10/23/2019 16:00:00,976.96
10/24/2019 16:00:00,979.32
10/25/2019 16:00:00,981.54
10/28/2019 16:00:00,981.39
